Client_ID,WM,Trawl,CE,WC,WC_min,WC_max,Body_mass,Family,Species,Group,MS,percent_N,delta15N,percent_C,delta13C,CN,d13C_corrected,WC_mid,TLc,TLs
M13,NWC,13,6,0-0.5g,0,0.5,0.5,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,11.5,9.3,39.4,-19.6,3.426086957,-19.6,0.25,2.5,2.0780566024309968
M14,NWC,13,6,0-0.5g,0,0.5,0.07,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,11.2,8.7,39.1,-19.7,3.491071429,-19.7,0.25,2.3235294117647056,1.9305348663040864
M15,NWC,13,6,0-0.5g,0,0.5,0.1172,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,12.1,9.1,40.8,-20.2,3.371900826,-20.2,0.25,2.4411764705882355,2.0281178173014203
M16,NWC,13,6,0-0.5g,0,0.5,0.065,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,12.1,8,39.4,-19.9,3.256198347,-19.9,0.25,2.1176470588235294,1.7666596582435516
M17,NWC,10,6,0.5-1g,0.5,1,0.56,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,11.9,9.4,40.2,-19.5,3.378151261,-19.5,0.75,2.5294117647058822,2.103323431764795
M18,NWC,10,6,0.5-1g,0.5,1,0.94,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,12.6,10.9,40.6,-18.5,3.222222222,-18.5,0.75,2.9705882352941178,2.5086199478011904
M19,NWC,10,6,0.5-1g,0.5,1,0.833,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,12.3,9.6,40.8,-19.1,3.317073171,-19.1,0.75,2.5882352941176467,2.1544679439282577
M20,NWC,10,6,01-2g,1,2,1.01,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,11.5,9.5,39.8,-19.6,3.460869565,-19.6,1.5,2.5588235294117645,2.1287927879408177
M21,NWC,10,6,01-2g,1,2,1.35,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,12.2,9.7,43.8,-19.5,3.590163934,-19.26573771,1.5,2.617647058823529,2.180352252683128
M22,NWC,10,6,01-2g,1,2,1.25,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,12.8,9.5,42.3,-19.3,3.3046875,-19.3,1.5,2.5588235294117645,2.1287927879408177
M23,NWC,10,6,01-2g,1,2,1.45,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,12,9.5,43.6,-19.8,3.633333333,-19.523,1.5,2.5588235294117645,2.1287927879408177
M24,NWC,10,6,01-2g,1,2,1.66,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,12.5,9.6,42.3,-19.3,3.384,-19.3,1.5,2.5882352941176467,2.1544679439282577
M25,NWC,10,6,08-16g,8,16,10.67,Myctophidae,Myctophum phengodes,Mycto,Myctophidae,14.1,11.5,45.6,-18.6,3.234042553,-18.6,12,3.1470588235294117,2.686414387169589
M26,NWC,10,6,08-16g,8,16,8.99,Myctophidae,Myctophum phengodes,Mycto,Myctophidae,14,11,46.2,-19.2,3.3,-19.2,12,3,2.5375700609806793
M27,NWC,10,6,02-4g,2,4,2.78,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,13.5,11.6,45,-18.9,3.333333333,-18.9,3,3.176470588235294,2.717038599565912
M28,NWC,10,6,02-4g,2,4,2.08,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,12.8,10.2,44.1,-19.2,3.4453125,-19.2,3,2.764705882352941,2.3130343809450804
M29,NWC,10,6,02-4g,2,4,2.94,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,12.8,11.5,46,-19.1,3.59375,-18.8621875,3,3.1470588235294117,2.686414387169589
M30,NWC,10,6,02-4g,2,4,2.7,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,11.7,10.3,41,-19.4,3.504273504,-19.25076923,3,2.794117647058824,2.3402488429214783
M31,NWC,10,6,02-4g,2,4,2.28,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,12.3,10.9,43.2,-19.2,3.512195122,-19.04292683,3,2.9705882352941178,2.5086199478011904
M32,NWC,10,6,02-4g,2,4,2.46,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,13.1,11.8,45.8,-19.2,3.496183206,-19.2,3,3.235294117647059,2.7791869529895674
M33,NWC,10,6,02-4g,2,4,2.97,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,13,12.1,45.2,-19.1,3.476923077,-19.1,3,3.3235294117647056,2.874749826641924
M34,NWC,10,6,02-4g,2,4,2.34,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,13.1,11.9,44.7,-19.1,3.41221374,-19.1,3,3.264705882352941,2.8107229835583647
M35,NWC,10,6,02-4g,2,4,2.9,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,13.2,11.6,47.2,-19.1,3.575757576,-18.88,3,3.176470588235294,2.717038599565912
M36,NWC,10,6,02-4g,2,4,2.61,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,13.1,12,45.8,-19.2,3.496183206,-19.2,3,3.2941176470588234,2.842575140733693
M37,NWC,10,6,02-4g,2,4,3.78,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,13,11,44.4,-18.7,3.415384615,-18.7,3,3,2.5375700609806793
M38,NWC,10,6,02-4g,2,4,3.42,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,13.1,11.7,44.5,-19,3.396946565,-19,3,3.205882352941176,2.7479608356504057
M38,NWC,10,6,02-4g,2,4,3.42,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,13.2,11.4,43.7,-18.9,3.310606061,-18.9,3,3.1176470588235294,2.656082508643746
M39,NWC,10,6,02-4g,2,4,2.89,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,13.1,10.5,49.5,-19.7,3.778625954,-19.27916031,3,2.8529411764705883,2.3953871589370443
M40,NWC,10,6,02-4g,2,4,2.81,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,12,10.9,41.7,-19.4,3.475,-19.4,3,2.9705882352941178,2.5086199478011904
M41,NWC,10,6,02-4g,2,4,2.28,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,13.1,11.5,48.3,-19.5,3.687022901,-19.16984733,3,3.1470588235294117,2.686414387169589
M43,NWC,10,6,02-4g,2,4,3.15,Myctophidae,Diaphus perspicillatus,Mycto,Myctophidae,12.7,11.6,46.2,-19.4,3.637795276,-19.11858268,3,3.176470588235294,2.717038599565912
M44,NWC,10,6,02-4g,2,4,3.1,Myctophidae,Diaphus perspicillatus,Mycto,Myctophidae,11.3,11.1,47.7,-20.8,4.221238938,-19.94097345,3,3.0294117647058822,2.566786363167321
M45,NWC,10,6,02-4g,2,4,2.69,Myctophidae,Diaphus perspicillatus,Mycto,Myctophidae,12.1,11.2,44,-19.9,3.636363636,-19.62,3,3.0588235294117645,2.596273794905203
M46,NWC,10,6,02-4g,2,4,2.74,Myctophidae,Diaphus perspicillatus,Mycto,Myctophidae,12.5,11,45.4,-19.2,3.632,-18.92432,3,3,2.5375700609806793
M47,NWC,10,6,02-4g,2,4,3.66,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,12.4,9.8,44.8,-19.6,3.612903226,-19.34322581,3,2.647058823529412,2.2064491497760326
M48,NWC,10,6,02-4g,2,4,2.4,Myctophidae,Notoscopelus sp,Mycto,Myctophidae,13.8,11.4,44.7,-18.9,3.239130435,-18.9,3,3.1176470588235294,2.656082508643746
M49,NWC,10,6,02-4g,2,4,2.35,Myctophidae,Notoscopelus sp,Mycto,Myctophidae,13.7,11.7,44.2,-18.8,3.226277372,-18.8,3,3.205882352941176,2.7479608356504057
M57,NWC,13,6,0-0.5g,0,0.5,0.27,Myctophidae,Diaphus perspicillatus,Mycto,Myctophidae,13.5,11.4,45,-19.2,3.333333333,-19.2,0.25,3.1176470588235294,2.656082508643746
M58,NWC,13,6,02-4g,2,4,2.81,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,12.4,12.1,42.1,-19.3,3.39516129,-19.3,3,3.3235294117647056,2.874749826641924
M59,NWC,13,6,02-4g,2,4,2.8,Myctophidae,Lobianchia doefleni,Mycto,Myctophidae,11.8,10.1,40.4,-19.2,3.423728814,-19.2,3,2.735294117647059,2.2860510242816465
M60,NWC,13,6,01-2g,2,4,1.1,Myctophidae,Lobianchia doefleni,Mycto,Myctophidae,12,9.7,40.5,-19.3,3.375,-19.3,3,2.617647058823529,2.180352252683128
M61,NWC,13,6,01-2g,2,4,1.21,Myctophidae,Lobianchia doefleni,Mycto,Myctophidae,12.3,9.8,41.2,-19.3,3.349593496,-19.3,3,2.647058823529412,2.2064491497760326
M82,NWC,13,6,01-2g,2,4,1.57,Myctophidae,Lobianchia doefleni,Mycto,Myctophidae,11.8,9.9,40.8,-19.3,3.457627119,-19.3,3,2.6764705882352944,2.2327621561287465
M83,NWC,13,6,0.5-1g,0.5,1,0.51,Myctophidae,Hygophum hygomii,Hygo,Myctophidae,12.1,10.1,40.6,-19.2,3.355371901,-19.2,0.75,2.735294117647059,2.2860510242816465
M84,NWC,13,6,0.5-1g,0.5,1,0.6,Myctophidae,Lobianchia doefleni,Mycto,Myctophidae,12.4,9.7,41.6,-19.8,3.35483871,-19.8,0.75,2.617647058823529,2.180352252683128
M65,NWC,13,6,0.5-1g,0.5,1,0.91,Myctophidae,Lobianchia doefleni,Mycto,Myctophidae,12.4,9.8,41.8,-19.2,3.370967742,-19.2,0.75,2.647058823529412,2.2064491497760326
M72,NWC,13,6,0.5-1g,0.5,1,1,Myctophidae,Myctophid,Mycto,Myctophidae,12.86591952,10.11069669,45.29298338,-19.87296534,3.520384478,-19.70778471,0.75,2.7384402029411765,2.2889264302565233
M73,NWC,13,6,0.5-1g,0.5,1,1,Myctophidae,Myctophid,Mycto,Myctophidae,13.29488215,10.41309394,46.66462304,-19.27778898,3.509968912,-19.12291976,0.75,2.827380570588235,2.371310253570447
M74,NWC,13,6,0.5-1g,0.5,1,1,Myctophidae,Myctophid,Mycto,Myctophidae,13.1233321,9.886096051,44.98386974,-19.34844046,3.427778052,-19.34844046,0.75,2.6723811914705884,2.2290905411433037
M75,NWC,13,6,0.5-1g,0.5,1,1,Myctophidae,Myctophid,Mycto,Myctophidae,12.79522586,11.10758729,44.96343567,-19.17316773,3.514079092,-19.01422943,0.75,3.0316433205882354,2.5690140918305833
S20,NWC,13,6,0-0.5g,0,0.5,0.1355,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,12,9.5,39.2,-19.5,3.266666667,-19.5,0.25,2.5588235294117645,2.1287927879408177
S21,NWC,13,6,0-0.5g,0,0.5,0.133,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,12.1,9.3,40.5,-19.6,3.347107438,-19.6,0.25,2.5,2.0780566024309968
S22,NWC,13,6,0-0.5g,0,0.5,0.1269,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,11.4,9.2,39.5,-19.5,3.464912281,-19.5,0.25,2.4705882352941178,2.0529891044329176
S23,NWC,13,6,0-0.5g,0,0.5,0.1518,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,11.2,9.3,38.7,-19.7,3.455357143,-19.7,0.25,2.5,2.0780566024309968
S24,NWC,13,6,0-0.5g,0,0.5,0.1684,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,11.2,9.5,38.9,-19.6,3.473214286,-19.6,0.25,2.5588235294117645,2.1287927879408177
S25,NWC,13,6,0-0.5g,0,0.5,0.1795,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,12,9.4,40.6,-19.4,3.383333333,-19.4,0.25,2.5294117647058822,2.103323431764795
S26,NWC,13,6,0-0.5g,0,0.5,0.123,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,11.1,9,38.8,-20.3,3.495495495,-20.3,0.25,2.4117647058823533,2.0034396932735707
S27,NWC,13,6,0-0.5g,0,0.5,0.1852,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,12,9.3,40.6,-19.4,3.383333333,-19.4,0.25,2.5,2.0780566024309968
POM5,NWC,NA,NA,NA,NA,NA,NA,Particulate Organic Matter,Particulate Organic Matter,POM,POM,0,4.9,0,-24.8,7.1,-21.091,NA,1.2058823529411766,1.1280257294126164
POM6,NWC,NA,NA,NA,NA,NA,NA,Particulate Organic Matter,Particulate Organic Matter,POM,POM,0,2.7,0,-25.2,7.8,-20.798,NA,0.5588235294117647,0.7418856245271007
POM7,NWC,NA,NA,NA,NA,NA,NA,Particulate Organic Matter,Particulate Organic Matter,POM,POM,0,3,0,-26,7.8,-21.598,NA,0.6470588235294117,0.7918583467406031
POM8,NWC,NA,NA,NA,NA,NA,NA,Particulate Organic Matter,Particulate Organic Matter,POM,POM,0,6.2,0,-24.8,6.4,-21.784,NA,1.5882352941176472,1.380405271088205
V07,NWC,13,6,0.5-1g,0.5,1,0.64,Phosichthyidae,Vinciguerria poweriae,Other,Other,11.4,10.6,40.1,-19.2,3.51754386,-19.03763158,0.75,2.8823529411764706,2.4233193156702315
V08,NWC,13,6,0.5-1g,0.5,1,0.99,Phosichthyidae,Vinciguerria poweriae,Other,Other,11.8,10.2,41.2,-19.2,3.491525424,-19.2,0.75,2.764705882352941,2.3130343809450804
V09,NWC,13,6,0.5-1g,0.5,1,0.91,Phosichthyidae,Vinciguerria poweriae,Other,Other,11.2,10.3,38.9,-19.3,3.473214286,-19.3,0.75,2.794117647058824,2.3402488429214783
V11,NWC,13,6,0-0.5g,0,0.5,0.15,Phosichthyidae,Vinciguerria poweriae,Other,Other,11,10,39.3,-19.5,3.572727273,-19.283,0.25,2.7058823529411766,2.25929488086506
V12,NWC,13,6,0.5-1g,0.5,1,0.68,Phosichthyidae,Vinciguerria poweriae,Other,Other,11.4,10.4,39.8,-19.3,3.49122807,-19.3,0.75,2.823529411764706,2.3676984031456514
V13,NWC,13,6,0-0.5g,0,0.5,0.48,Phosichthyidae,Vinciguerria poweriae,Other,Other,8.8,10.5,30.9,-19.1,3.511363636,-18.94375,0.25,2.8529411764705883,2.3953871589370443
V14,NWC,13,6,0-0.5g,0,0.5,0.29,Phosichthyidae,Vinciguerria poweriae,Other,Other,10.9,10.3,38.7,-19.2,3.550458716,-19.00504587,0.25,2.794117647058824,2.3402488429214783
V14,NWC,13,6,0-0.5g,0,0.5,0.29,Phosichthyidae,Vinciguerria poweriae,Other,Other,11.3,10.2,38.1,-19.2,3.371681416,-19.2,0.25,2.764705882352941,2.3130343809450804
V16,NWC,13,6,0-0.5g,0,0.5,0.13,Phosichthyidae,Vinciguerria poweriae,Other,Other,11.3,9.9,40.2,-19.3,3.557522124,-19.0980531,0.25,2.6764705882352944,2.2327621561287465
V17,NWC,13,6,0.5-1g,0.5,1,0.55,Phosichthyidae,Vinciguerria poweriae,Other,Other,11.3,10.5,39.6,-19,3.504424779,-18.85061947,0.75,2.8529411764705883,2.3953871589370443
P01,NWC,13,6,0-0.5g,0,0.5,0.5,Pyrosomidae,Pyrosome,Pyro,Pyrosomes,3.4,5.2,18.5,-21.8,5.441176471,-19.73323529,0.25,1.2941176470588236,1.1845133798286527
P02,NWC,13,6,0-0.5g,0,0.5,0.5,Pyrosomidae,Pyrosome,Pyro,Pyrosomes,4.4,5.3,22.8,-22,5.181818182,-20.19,0.25,1.3235294117647058,1.203567977061026
P03,NWC,13,6,0-0.5g,0,0.5,0.5,Pyrosomidae,Pyrosome,Pyro,Pyrosomes,4.1,5.3,21,-22.2,5.12195122,-20.44926829,0.25,1.3235294117647058,1.203567977061026
P04,NWC,15,6,0-0.5g,0,0.5,0.5,Pyrosomidae,Pyrosome,Pyro,Pyrosomes,4.1,5.1,21,-22.7,5.12195122,-20.94926829,0.25,1.2647058823529411,1.165572366254786
P05,NWC,15,6,0-0.5g,0,0.5,0.5,Pyrosomidae,Pyrosome,Pyro,Pyrosomes,2.7,6,17.3,-21.6,6.407407407,-18.57666667,0.25,1.5294117647058822,1.3402488429214796
A10,NWC,11,6,0-0.5g,0,0.5,0.16,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,11.7,9.5,37.7,-18.9,3.222222222,-18.9,0.25,2.5588235294117645,2.1287927879408177
A11,NWC,11,6,0-0.5g,0,0.5,0.19,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,11.1,10,37.9,-19.1,3.414414414,-19.1,0.25,2.7058823529411766,2.25929488086506
A12,NWC,11,6,0-0.5g,0,0.5,0.14,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,10.4,10.1,36.1,-19.3,3.471153846,-19.3,0.25,2.735294117647059,2.2860510242816465
A13,NWC,11,6,02-4g,2,4,3.46,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,12.8,10.7,41.4,-18.6,3.234375,-18.6,3,2.911764705882353,2.451499190608158
A14,NWC,11,6,08-16g,8,16,11.1,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,13.6,12.2,43.5,-18.8,3.198529412,-18.8,12,3.352941176470588,2.907253639882264
A15,NWC,11,6,08-16g,8,16,9.2,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,13.6,11.4,43.7,-19,3.213235294,-19,12,3.1176470588235294,2.656082508643746
A17,NWC,13,6,04-8g,4,8,4.62,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,13.4,11,43.5,-18.5,3.246268657,-18.5,6,3,2.5375700609806793
A19,NWC,13,6,0-0.5g,0,0.5,0.15,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,10.3,10.1,35.8,-19,3.475728155,-19,0.25,2.735294117647059,2.2860510242816465
A20,NWC,13,6,0-0.5g,0,0.5,0.375,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,10.7,10.1,36.9,-19,3.448598131,-19,0.25,2.735294117647059,2.2860510242816465
A21,NWC,13,6,0-0.5g,0,0.5,0.277,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,11.5,10.4,38.4,-18.8,3.339130435,-18.8,0.25,2.823529411764706,2.3676984031456514
A22,NWC,13,6,0-0.5g,0,0.5,0.176,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,10.5,9.9,36.5,-19.2,3.476190476,-19.2,0.25,2.6764705882352944,2.2327621561287465
A23,NWC,13,6,0-0.5g,0,0.5,0.263,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,9.2,10.3,32.3,-19.1,3.510869565,-18.94423913,0.25,2.794117647058824,2.3402488429214783
A24,NWC,13,6,0-0.5g,0,0.5,0.146,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,10.5,10.9,36.1,-19.2,3.438095238,-19.2,0.25,2.9705882352941178,2.5086199478011904
A25,NWC,13,6,0-0.5g,0,0.5,0.078,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,10.7,9.9,37.4,-19.1,3.495327103,-19.1,0.25,2.6764705882352944,2.2327621561287465
A26,NWC,13,6,0-0.5g,0,0.5,0.175,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,10.4,10.1,35.9,-19,3.451923077,-19,0.25,2.735294117647059,2.2860510242816465
A27,NWC,13,6,0-0.5g,0,0.5,0.189,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,10.3,10.1,35.7,-19,3.466019417,-19,0.25,2.735294117647059,2.2860510242816465
A28,NWC,10,6,0-0.5g,0,0.5,1.01,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,12.2,10,40.9,-19,3.352459016,-19,0.25,2.7058823529411766,2.25929488086506
A29,NWC,10,6,0.5-1g,0.5,1,0.72,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,12.7,10.5,42.4,-18.7,3.338582677,-18.7,0.75,2.8529411764705883,2.3953871589370443
A30,NWC,10,6,0-0.5g,0,0.5,0.23,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,11.5,9.8,38.6,-19.2,3.356521739,-19.2,0.25,2.647058823529412,2.2064491497760326
A31,NWC,10,6,0-0.5g,0,0.5,0.39,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,12.2,10.4,41.3,-18.9,3.385245902,-18.9,0.25,2.823529411764706,2.3676984031456514
A32,NWC,10,6,0-0.5g,0,0.5,0.21,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,12.1,9.9,40.9,-19,3.380165289,-19,0.25,2.6764705882352944,2.2327621561287465
A33,NWC,10,6,0-0.5g,0,0.5,0.17,Sternoptychidae,Argyropelecus hemigymnus,Sternoptychidae,Sternoptychidae,12.3,11.2,41.6,-18.7,3.382113821,-18.7,0.25,3.0588235294117645,2.596273794905203
A34,NWC,13,6,01-2g,1,2,1.39,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,12.2,10.6,40.4,-18.6,3.31147541,-18.6,1.5,2.8823529411764706,2.4233193156702315
A34,NWC,13,6,01-2g,1,2,1.39,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,11.8,10.7,38.5,-18.6,3.262711864,-18.6,1.5,2.911764705882353,2.451499190608158
A35,NWC,13,6,01-2g,1,2,1.65,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,12.4,10.3,41.6,-18.9,3.35483871,-18.9,1.5,2.794117647058824,2.3402488429214783
A36,NWC,13,6,01-2g,1,2,1.04,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,12,10.6,40.3,-18.6,3.358333333,-18.6,1.5,2.8823529411764706,2.4233193156702315
A37,NWC,13,6,0.5-1g,0.5,1,1,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,11.8,10.4,39.9,-18.7,3.381355932,-18.7,0.75,2.823529411764706,2.3676984031456514
T09,NWC,10,6,0-0.5g,0,0.5,0.393,Stomiidae,Chauliodus sloani,Tooth,Stomiidae,10.3,10.9,35,-19,3.398058252,-19,0.25,2.9705882352941178,2.5086199478011904
T10,NWC,13,6,0.5-1g,0.5,1,0.66,Stomiidae,Eustomias sp.,Tooth,Stomiidae,10.5,9.9,35.7,-18.5,3.4,-18.5,0.75,2.6764705882352944,2.2327621561287465
T10,NWC,13,6,0.5-1g,0.5,1,0.66,Stomiidae,Eustomias sp.,Tooth,Stomiidae,10.8,10,34.9,-18.5,3.231481481,-18.5,0.75,2.7058823529411766,2.25929488086506
T21,NWC,13,6,04-8g,4,8,7.796,Stomiidae,Chauliodus sloani,Tooth,Stomiidae,12.6,11.3,41.8,-19.1,3.317460317,-19.1,6,3.088235294117647,2.6260374355747116
T22,NWC,13,6,08-16g,8,16,10.267,Stomiidae,Melanostomiinae,Tooth,Stomiidae,11.7,12.1,41,-19.1,3.504273504,-18.95076923,12,3.3235294117647056,2.874749826641924
T25,NWC,11,6,04-8g,4,8,8,Stomiidae,Malacosteus australis,Tooth,Stomiidae,12.2,11.3,39.7,-19.6,3.254098361,-19.6,6,3.088235294117647,2.6260374355747116
T26,NWC,12,6,08-16g,8,16,13.48,Stomiidae,Idiacanthus atlanticus,Tooth,Stomiidae,10.5,14.7,36.5,-17.7,3.476190476,-17.7,12,4.088235294117647,3.851357770775443
T35,NWC,10,6,0-0.5g,0,0.5,0.5,Stomiidae,Chauliodus sloani,Tooth,Stomiidae,10.95436023,10.1471057,37.52890427,-19.41152459,3.425933006,-19.41152459,0.25,2.749148735294117,2.2987331813872807
ZOO06-125,NWC,EZ6,NA,0.000001-0.000008g,1e-6,8.18e-6,8.18e-6,Zooplankton,Zooplankton,Zoo,Zooplankton,7.2,5.9,32.1,-21.3,4.458333333,-20.20625,4.59e-6,1.5,1.320359345515157
ZOO07-250,NWC,EZ6,NA,0.000008-0.000065g,8.18e-6,6.54e-5,6.54e-5,Zooplankton,Zooplankton,Zoo,Zooplankton,8.9,6.8,37.8,-21.6,4.247191011,-20.7152809,3.6790000000000005e-5,1.7647058823529411,1.504012309031761
ZOO08-500,NWC,EZ6,NA,0.000065-0.000524g,6.54e-5,5.24e-4,5.24e-4,Zooplankton,Zooplankton,Zoo,Zooplankton,8.6,7.6,33.6,-20.1,3.906976744,-19.55209302,2.947e-4,2,1.6766766479600332
ZOO08-500,NWC,EZ6,NA,0.000065-0.000524g,6.54e-5,5.24e-4,5.24e-4,Zooplankton,Zooplankton,Zoo,Zooplankton,8,7.6,31.7,-19.7,3.9625,-19.097125,2.947e-4,2,1.6766766479600332
ZOO09-1000,NWC,EZ6,NA,0.000524-0.004189g,5.24e-4,0.00418879,0.00418879,Zooplankton,Zooplankton,Zoo,Zooplankton,5.2,7.6,22.8,-21.5,4.384615385,-20.47923077,0.0023563950000000003,2,1.6766766479600332
ZOO10-2000,NWC,EZ6,NA,0.004189-0.03351g,0.00418879,0.033510322,0.033510322,Zooplankton,Zooplankton,Zoo,Zooplankton,5.6,7.8,26.2,-21.1,4.678571429,-19.78821429,0.018849556,2.0588235294117645,1.7213496394080425
ZOO10-2000,NWC,EZ6,NA,0.004189-0.03351g,0.00418879,0.033510322,0.033510322,Zooplankton,Zooplankton,Zoo,Zooplankton,5.6,7.8,22.5,-20.9,4.017857143,-20.24232143,0.018849556,2.0588235294117645,1.7213496394080425
G140,SCC,19,6,01-2g,1,2,1.0176,Melanocetidae,Melanocetus johnsonii,Tooth,Other,9.2,12.8,33.2,-19.4,3.6,-19.156,1.5,3.705882352941177,3.2153594063465794
C02,SCC,18,6,01-2g,1,2,1.9895,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,13.4,10.2,43.9,-20.2,3.3,-20.2,1.5,2.9411764705882355,2.418809177611192
C03,SCC,18,6,0-0.5g,0,0.5,0.4667,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,10.9,9.1,38.2,-20.2,3.5,-20.055,0.25,2.6176470588235294,2.1338926139675323
C04,SCC,19,6,02-4g,2,4,3.8712,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,13.9,9.6,45.3,-20.1,3.3,-20.1,3,2.764705882352941,2.2602427405943692
C06,SCC,19,6,01-2g,1,2,1.9319,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,13.2,9.6,43.9,-20.4,3.3,-20.4,1.5,2.764705882352941,2.2602427405943692
C07,SCC,19,6,0.5-1g,0.5,1,0.8546,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,12.3,9.1,41.7,-20.5,3.4,-20.5,0.75,2.6176470588235294,2.1338926139675323
C08,SCC,19,6,01-2g,1,2,1.2403,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,13.5,9.7,44.7,-20.5,3.3,-20.5,1.5,2.7941176470588234,2.28612704934924
C09,SCC,19,6,01-2g,1,2,1.0705,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,13.1,9.5,42.7,-20.3,3.2,-20.3,1.5,2.735294117647059,2.2345675846069293
C10,SCC,19,6,0.5-1g,0.5,1,0.6467,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,11.9,8.6,41,-20.2,3.5,-20.055,0.75,2.4705882352941178,2.012375091178357
C14,SCC,19,6,0.5-1g,0.5,1,0.9731,Myctophidae,Ceratoscopelus warmingii,Cerato,Myctophidae,11.3,8.6,38,-20.4,3.4,-20.4,0.75,2.4705882352941178,2.012375091178357
