Client_ID,WM,Trawl,CE,WC,WC_min,WC_max,Body_mass,Family,Species,Group,MS,percent_N,delta15N,percent_C,delta13C,CN,d13C_corrected,WC_mid,TLc,TLs
S04,NCC,5,6,02-4g,2,4,2.37,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,13.8,10.5,45.8,-19.6,3.31884058,-19.6,3,2.9485294117647056,2.4531184951764313
S05,NCC,5,6,0-0.5g,0,0.5,0.15,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,11.7,9.7,40.2,-20.3,3.435897436,-20.3,0.25,2.7132352941176467,2.238083588922515
S05,NCC,5,6,0-0.5g,1,2,0.15,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,12.5,9.6,42.3,-20.1,3.384,-20.1,1.5,2.6838235294117645,2.2121992801676438
S06,NCC,5,6,02-4g,2,4,2.77,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,14.2,11.3,45.6,-19.3,3.211267606,-19.3,3,3.183823529411765,2.6837687718140986
S07,NCC,5,6,02-4g,2,4,2.83,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,14.1,11.5,46.1,-19.5,3.269503546,-19.5,3,3.2426470588235294,2.7441457234089754
S08,NCC,5,6,0-0.5g,0,0.5,0.39,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,12.1,12.3,43.1,-19.4,3.561983471,-19.19363636,0.25,3.4779411764705883,2.9978247198886327
S09,NCC,6,6,02-4g,2,4,2.98,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,11.8,11.4,40,-19.3,3.389830508,-19.3,3,3.213235294117647,2.7138138448831324
S10,NCC,6,6,02-4g,2,4,2.7,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,12.3,10.9,40.2,-19.7,3.268292683,-19.7,3,3.0661764705882355,2.566351284040577
S17,NCC,5,6,02-4g,2,4,3.1,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,13.3,12.7,44.9,-19.5,3.37593985,-19.5,3,3.5955882352941173,3.1326867164211247
S18,NCC,5,6,02-4g,2,4,2.603,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,13.6,11.4,45.7,-19.6,3.360294118,-19.6,3,3.213235294117647,2.7138138448831324
S32,NCC,5,6,01-2g,1,2,2,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,13.7,11.3,44.7,-19.2,3.262773723,-19.2,1.5,3.183823529411765,2.6837687718140986
S34,NCC,5,6,02-4g,2,4,4,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,14.1,11.4,47.2,-19.8,3.34751773,-19.8,3,3.213235294117647,2.7138138448831324
S35,NCC,5,6,02-4g,2,4,4,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,13.7,11.7,46.1,-19.5,3.364963504,-19.5,3,3.301470588235294,2.805692171889792
S37,NCC,5,6,02-4g,2,4,4,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,13.5,10.9,45.6,-19.6,3.377777778,-19.6,3,3.0661764705882355,2.566351284040577
S38,NCC,5,6,02-4g,2,4,4,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,15.8,11,52.6,-19.6,3.329113924,-19.6,3,3.0955882352941178,2.595301397220066
S39,NCC,5,6,0-0.5g,0,0.5,0.5,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,11.9,10.5,41.4,-19.6,3.478991597,-19.6,0.25,2.9485294117647056,2.4531184951764313
S40,NCC,5,6,0-0.5g,0,0.5,0.5,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,11.9,10.6,41.6,-19.9,3.495798319,-19.9,0.25,2.977941176470588,2.4810506519096185
S42,NCC,5,6,0-0.5g,0,0.5,0.5,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,11.4,10.6,40.7,-20.2,3.570175439,-19.98552632,0.25,2.977941176470588,2.4810506519096185
S43,NCC,5,6,0-0.5g,0,0.5,0.5,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,11.5,10.2,40,-20,3.47826087,-20,0.25,2.860294117647059,2.370765717184467
S44,NCC,5,6,0-0.5g,0,0.5,0.5,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,11.4,10.2,40.1,-20.2,3.51754386,-20.03763158,0.25,2.860294117647059,2.370765717184467
S45,NCC,5,6,0-0.5g,0,0.5,0.5,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,11.2,12.3,38.9,-18.9,3.473214286,-18.9,0.25,3.4779411764705883,2.9978247198886327
S46,NCC,5,6,01-2g,1,2,2,Myctophidae,Scopelopsis multipunctatus,Scope,Myctophidae,10.8,12.8,42.6,-19.6,3.944444444,-19.015,1.5,3.6250000000000004,3.1673159459198543
F6,NCC,5,6,0-0.5g,0,0.5,0.445,Nomeidae,Psenes sp,Other,Other,11.1,8.5,39.8,-20.1,3.585585586,-19.87027027,0.25,2.360294117647059,1.9405759983149167
F10,NCC,8,6,04-8g,4,8,8,Paralepididae,Stemonosudis sp.,Other,Other,13.9045672,11.5140798,45.91534141,-19.16459449,3.302176957,-19.16459449,6,3.246788176470588,2.7484397397600286
POM1,NCC,NA,NA,NA,NA,NA,NA,Particulate Organic Matter,Particulate Organic Matter,POM,POM,0,4.7,0,-24,6.8,-20.588,NA,1.2426470588235294,1.1486489159959843
POM2,NCC,NA,NA,NA,NA,NA,NA,Particulate Organic Matter,Particulate Organic Matter,POM,POM,0,4,0,-24.5,6.9,-20.989,NA,1.036764705882353,1.022080404625744
POM3,NCC,NA,NA,NA,NA,NA,NA,Particulate Organic Matter,Particulate Organic Matter,POM,POM,0,2.6,0,-25.4,8.3,-20.503,NA,0.625,0.7831325224226775
POM4,NCC,NA,NA,NA,NA,NA,NA,Particulate Organic Matter,Particulate Organic Matter,POM,POM,0,4.2,0,-25.1,7.4,-21.094,NA,1.0955882352941178,1.0577313362393868
F3,NCC,7,6,0.5-1g,0.5,1,0.73,Phosichthyidae,Ichthyococcus australis,Other,Other,10.7,11.8,42.4,-19.7,3.962616822,-19.09700935,0.75,3.3308823529411766,2.8369182892289544
V18,NCC,7,6,0-0.5g,0,0.5,0.4,Phosichthyidae,Vinciguerria poweriae,Other,Other,11.5,11.3,39.9,-19.4,3.469565217,-19.4,0.25,3.183823529411765,2.6837687718140986
V19,NCC,7,6,0.5-1g,0.5,1,0.53,Phosichthyidae,Vinciguerria poweriae,Other,Other,11.5,11.8,39.9,-19.2,3.469565217,-19.2,0.75,3.3308823529411766,2.8369182892289544
V20,NCC,7,6,0-0.5g,0,0.5,0.41,Phosichthyidae,Vinciguerria poweriae,Other,Other,11.5,11.8,39.8,-19.3,3.460869565,-19.3,0.25,3.3308823529411766,2.8369182892289544
V21,NCC,8,6,0.5-1g,0.5,1,1,Phosichthyidae,Vinciguerria poweriae,Other,Other,13.21315842,11.26850403,45.33381087,-19.47690737,3.430959459,-19.47690737,0.75,3.1745600088235295,2.67436431346308
V22,NCC,8,6,0.5-1g,0.5,1,1,Phosichthyidae,Vinciguerria poweriae,Other,Other,13.3475912,10.91446769,45.63402378,-19.52488258,3.418895822,-19.52488258,0.75,3.070431673529412,2.5705234121873097
P06,NCC,6,6,0-0.5g,0,0.5,0.5,Pyrosomidae,Pyrosome,Pyro,Pyrosomes,3.966298135,5.555090727,20.4400759,-21.63757374,5.153439102,-19.85566903,0.25,1.4941443314705882,1.3104297286494513
P07,NCC,6,6,0-0.5g,0,0.5,0.5,Pyrosomidae,Pyrosome,Pyro,Pyrosomes,3.273632673,5.172716758,16.12529851,-21.47234915,4.925811819,-19.91579545,0.25,1.3816813994117647,1.2370657833808731
P08,NCC,6,6,0-0.5g,0,0.5,0.5,Pyrosomidae,Pyrosome,Pyro,Pyrosomes,4.276663736,5.855745778,22.26085635,-21.69632363,5.205192113,-19.86318344,0.25,1.582572287647059,1.3693283223307369
P09,NCC,6,6,0-0.5g,0,0.5,0.5,Pyrosomidae,Pyrosome,Pyro,Pyrosomes,4.40388726,6.180375982,22.12923313,-21.61862355,5.024931797,-19.96394107,0.25,1.6780517594117648,1.4341739245733383
A38,NCC,7,6,01-2g,1,2,1.27,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,12.3,11.1,40.5,-19.1,3.292682927,-19.1,1.5,3.125,2.6245176994067076
A39,NCC,6,6,02-4g,2,4,2.03,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,12.2,11.4,40.6,-18.9,3.327868852,-18.9,3,3.213235294117647,2.7138138448831324
A40,NCC,6,6,0-0.5g,0,0.5,0.4,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,11.5,11.3,38.9,-19.1,3.382608696,-19.1,0.25,3.183823529411765,2.6837687718140986
A41,NCC,6,6,0.5-1g,0.5,1,0.72,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,12.9,11.2,43.6,-19.1,3.379844961,-19.1,0.75,3.1544117647058822,2.65400513114459
A42,NCC,6,6,02-4g,2,4,3.74,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,13.3,11.4,43.7,-18.9,3.285714286,-18.9,3,3.213235294117647,2.7138138448831324
A43,NCC,6,6,01-2g,1,2,1.8,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,11.2,11.7,38.1,-19,3.401785714,-19,1.5,3.301470588235294,2.805692171889792
A44,NCC,6,6,01-2g,1,2,1.2,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,11.3,10.7,39.1,-20.3,3.460176991,-20.3,1.5,3.0073529411764706,2.5092305268475448
A45,NCC,6,6,0.5-1g,0.5,1,0.9,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,11.1,11.3,38.1,-19.7,3.432432432,-19.7,0.75,3.183823529411765,2.6837687718140986
A46,NCC,6,6,01-2g,1,2,1.4,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,12.49589795,11.52608772,40.63607733,-18.96103057,3.25195336,-18.96103057,1.5,3.250319917647059,2.752106470579795
A47,NCC,6,6,0.5-1g,0.5,1,0.7,Sternoptychidae,Argyropelecus aculeatus,Sternoptychidae,Sternoptychidae,12.56445373,11.37803399,41.73951336,-19.15992091,3.322031682,-19.15992091,0.75,3.2067747029411766,2.707189750117708
